u,profile,dfa_lags,dfa_transform,dfa_ext_transform
-5.5321415851072864e-17,-5.499817076902592e-17,3.3010299956639813,-15.281548378421833,-15.423003378427765
-4.6241222656506764e-17,-1.0091614834348574e-16,3.0,-15.337706799911466,-15.221250989988876
-9.971271855077624e-18,-1.1056417511651641e-16,2.6989700043360187,-15.513079289522024,-15.155902581658063
-1.4657058119288413e-17,-1.2489798815375789e-16,2.3010299956639813,-15.72064730791422,-15.36796765121988
-1.2761059570154387e-16,-2.5218533877325484e-16,2.0,-15.880711154863704,-15.363209150148137
8.296857124945323e-17,-1.6889352244175468e-16,1.6989700043360187,-16.038535667638154,-15.49190084516818
2.3564456592614635e-17,-1.450058207670931e-16,,,
5.2814198327200135e-17,-9.186837735784603e-17,,,
-2.236166980751353e-18,-9.378129925655044e-17,,,
1.784325725368019e-16,8.497451836229839e-17,,,
2.4440627473254484e-16,3.2970403817689016e-16,,,
-1.5016200088924236e-17,3.1501108317001286e-16,,,
5.5402731014009277e-17,3.707370592660691e-16,,,
-1.4907779871675686e-18,3.6956952636094845e-16,,,
-8.131516293641283e-19,3.6907961981363126e-16,,,
7.401373893108076e-18,3.7680423878878627e-16,,,
-1.2188804110989382e-18,3.7590860345973427e-16,,,
6.48623949689453e-17,4.410942435107265e-16,,,
2.867714746224159e-17,4.70094636055015e-16,,,
1.533807260888087e-17,4.857559537459429e-16,,,
-4.457087368452128e-18,4.816221114595377e-16,,,
-7.020209066843641e-17,4.117432658731482e-16,,,
2.6142824884056726e-16,6.734947597957624e-16,,,
6.830473686658678e-18,6.80648478564468e-16,,,
-4.491307499521202e-17,6.360586486513029e-16,,,
-1.5199159205531165e-17,6.211827345278187e-16,,,
-3.723556836129904e-17,5.842704112485666e-16,,,
-3.4728350837426314e-17,5.498653054931872e-16,,,
1.3501705179233547e-18,5.515387210931575e-16,,,
2.6217363783415104e-17,5.780793299586196e-16,,,
-9.055798645685176e-17,4.878445885838147e-16,,,
-7.68767102928003e-18,4.804801626365816e-16,,,
1.2678389154502367e-17,4.934817968731309e-16,,,
-4.090830322059369e-17,4.528967387345842e-16,,,
6.750513776437872e-17,5.207251215810099e-16,,,
1.020505294851981e-16,6.230988961482549e-16,,,
-8.595266832263013e-19,6.225626145470755e-16,,,
-9.259764179384011e-18,6.136260954497385e-16,,,
-1.452830911130576e-17,5.994210314204796e-16,,,
-7.036472099430924e-17,5.293795555082173e-16,,,
-2.7620050344068225e-17,5.020827502461961e-16,,,
-6.412378223893955e-17,4.3828221308930344e-16,,,
6.39171061998095e-18,4.449971687913313e-16,,,
-8.395790573184625e-17,3.61362508141532e-16,,,
5.412879346133881e-17,4.1581454668491777e-16,,,
1.868622444278767e-16,6.030000361948414e-16,,,
-4.684092198316281e-18,5.986391890785721e-16,,,
-1.9922214919421144e-17,5.790402192411978e-16,,,
1.134346522962959e-17,5.907069295528744e-16,,,
4.9954615097269617e-17,6.409847897321909e-16,,,
1.14437539305845e-16,7.557455741200829e-16,,,
-5.72594272343907e-17,6.988093919677391e-16,,,
1.4394139092460678e-16,8.430740279743928e-16,,,
4.030521576214863e-17,8.837024888185884e-16,,,
5.3844190391061364e-17,9.378699242916968e-16,,,
1.2904716358008717e-16,1.0672403329538308e-15,,,
1.0972125985553305e-16,1.1772848378914107e-15,,,
4.971066960846038e-17,1.227318752581918e-15,,,
1.1795780823463387e-17,1.2394377784874285e-15,,,
-4.3673018760431725e-17,1.1960880048090438e-15,,,
-3.119791751327039e-17,1.1652133323778205e-15,,,
9.012430558785756e-17,1.2556608830477249e-15,,,
2.8433201973432354e-17,1.2844173301032043e-15,,,
-9.222494729704822e-18,1.2755180804555465e-15,,,
-2.922263668027336e-18,1.2729190618695662e-15,,,
-4.209753747853873e-18,1.2690325532037593e-15,,,
1.0137290312739466e-16,1.3707287014132009e-15,,,
1.5612511283791264e-17,1.3866644577790392e-15,,,
1.269871794523647e-16,1.5139748823134509e-15,,,
2.5167042928819772e-17,1.5394651703243177e-15,,,
6.5865281978494394e-18,1.5463749436042142e-15,,,
-5.068645156369733e-17,1.4960117371225639e-15,,,
1.0901314031162845e-17,1.5072362962357738e-15,,,
-2.4689316346568346e-17,1.4828702249712525e-15,,,
1.1018204577883939e-16,1.5933755158321389e-15,,,
-2.3662712414496134e-17,1.5700360484996898e-15,,,
-2.0328790734103208e-17,1.5500305028476336e-15,,,
-1.1403096349116293e-16,1.4363227844385175e-15,,,
-1.4322310698533514e-16,1.2934229225352292e-15,,,
-1.0367683274392636e-17,1.2833784843428836e-15,,,
5.425076620574343e-17,1.3379524956306741e-15,,,
-7.101524229780054e-17,1.2672604984149204e-15,,,
5.955658058734437e-17,1.3271403240843116e-15,,,
-5.858757489568545e-17,1.268875994270673e-15,,,
-6.4882723759679406e-18,1.262710966976752e-15,,,
-2.7484525072507537e-17,1.2355496869862916e-15,,,
-5.9631119486702744e-18,1.2299098201196684e-15,,,
-2.6590058280206996e-17,1.2036430069215084e-15,,,
2.561427632497004e-16,1.4601090152532557e-15,,,
-5.637851296924623e-18,1.454794409038378e-15,,,
-3.542630598596386e-17,1.4196913481344613e-15,,,
-9.747655157002488e-18,1.4102669380595058e-15,,,
-4.081343553050121e-17,1.3697767476110516e-15,,,
-2.4919709308221516e-18,1.3676080217622765e-15,,,
8.690558038829121e-18,1.3766218248831527e-15,,,
5.702903427273753e-17,1.433974104237937e-15,,,
-2.656295322589486e-18,1.4316410539973946e-15,,,
2.0816681711721685e-17,1.4527809807911633e-15,,,
1.348069876214164e-16,1.5879112134946266e-15,,,
-7.440337408681774e-18,1.5807941211679918e-15,,,
9.286191607338345e-17,1.6739792823234223e-15,,,
1.8831236483357605e-17,1.693133763888827e-15,,,
1.761286429202702e-16,1.8695856518911442e-15,,,
-1.587000929975657e-17,1.8540388876734345e-15,,,
1.0320249429346395e-17,1.8646823821848277e-15,,,
-5.2827750854356204e-17,1.8121778764125183e-15,,,
-3.0113715340784886e-17,1.7823874061537803e-15,,,
2.2842784521553972e-17,1.805553435757381e-15,,,
9.58841296291868e-19,1.80683552213572e-15,,,
