    .06  106.4191000 19.4237000 15.1660300
    .12  105.4930000 19.4032800 15.0842200
    .18  105.0300000 19.4237000 15.0842200
    .23  105.0300000 19.4441300 15.0569500
    .29  104.1040000 19.4849800 15.0024100
    .35  104.5670000 19.5054000 15.0024100
    .41  104.1040000 19.4849800 14.9751400
    .47  103.6409000 19.5258200 14.9478700
    .53  104.5670000 19.5462500 15.0024100
    .58  105.0300000 19.5666700 15.0024100
    .64  104.5670000 19.6483700 15.0569500
    .70  105.9560000 19.7096400 15.1660300
    .76  105.9560000 19.7300600 15.1933000
    .82  105.4930000 19.7709100 15.2478400
    .88  106.8821000 19.7300600 15.3296500
    .93  106.4191000 19.6892100 15.2751100
    .99  106.4191000 19.6075200 15.2751100
   1.05  106.8821000 19.5258200 15.2478400
   1.11  105.4930000 19.5054000 15.1660300
   1.17  105.0300000 19.5258200 15.1114900
   1.23  105.4930000 19.5258200 15.1114900
   1.28  104.1040000 19.5666700 15.0024100
   1.34  104.5670000 19.5666700 15.0024100
   1.40  105.0300000 19.6075200 14.9478700
   1.46  104.1040000 19.6483700 14.8933300
   1.52  104.5670000 19.7096400 14.8933300
   1.58  104.5670000 19.7504800 14.8660600
   1.63  104.1040000 19.8526000 14.8660600
   1.69  105.4930000 19.8934500 14.9751400
   1.75  105.9560000 19.9751400 14.9751400
   1.81  105.9560000 20.0159900 15.0569500
   1.87  106.8821000 20.0159900 15.0842200
   1.93  106.4191000 19.9547200 15.0569500
   1.98  106.4191000 19.8526000 15.0296800
   2.04  106.4191000 19.7096400 15.0296800
   2.10  105.4930000 19.6483700 14.9478700
   2.16  105.0300000 19.6075200 14.9206000
   2.22  105.0300000 19.5870900 14.8660600
   2.28  103.6409000 19.5870900 14.7842500
   2.33  104.1040000 19.6075200 14.7297100
   2.39  103.6409000 19.5870900 14.6751700
   2.45  102.7149000 19.5870900 14.6206400
   2.51  103.6409000 19.5870900 14.6206400
   2.57  104.1040000 19.5870900 14.5933600
   2.63  103.6409000 19.6075200 14.5933600
   2.69  105.0300000 19.6687900 14.6751700
   2.74  105.0300000 19.6892100 14.6751700
   2.80  105.0300000 19.7300600 14.7569800
   2.86  106.4191000 19.6892100 14.8660600
   2.92  106.4191000 19.6483700 14.8387900
   2.98  106.4191000 19.5054000 14.8660600
   3.04  106.8821000 19.3420100 14.8660600
   3.09  105.4930000 19.2194700 14.8387900
   3.15  105.4930000 19.1582000 14.8115200
   3.21  105.0300000 19.1173500 14.7842500
   3.27  104.1040000 19.1582000 14.7024400
   3.33  104.1040000 19.1786200 14.7024400
   3.39  104.1040000 19.1990500 14.6479000
   3.44  103.1779000 19.1377700 14.5933600
   3.50  103.6409000 19.1377700 14.5933600
   3.56  103.1779000 19.1990500 14.5388300
   3.62  103.1779000 19.2807400 14.5388300
   3.68  104.1040000 19.3624300 14.5933600
   3.74  104.1040000 19.4237000 14.5661000
   3.79  104.1040000 19.4849800 14.6206400
   3.85  105.4930000 19.5054000 14.7024400
   3.91  105.0300000 19.4849800 14.7024400
   3.97  105.4930000 19.4237000 14.7297100
   4.03  105.9560000 19.3011600 14.7569800
   4.09  105.4930000 19.2398900 14.7024400
   4.14  105.4930000 19.1990500 14.7024400
   4.20  105.4930000 19.1786200 14.6206400
   4.26  104.1040000 19.2194700 14.5388300
   4.32  104.5670000 19.2398900 14.5388300
   4.38  103.6409000 19.2603100 14.4570200
   4.44  103.1779000 19.2807400 14.4297500
   4.49  104.1040000 19.2807400 14.4570200
   4.55  104.1040000 19.3215900 14.4024800
   4.61  103.6409000 19.3624300 14.4024800
   4.67  104.5670000 19.4237000 14.4297500
   4.73  104.1040000 19.4645500 14.4297500
   4.79  104.5670000 19.5462500 14.4842900
   4.84  105.4930000 19.5462500 14.5661000
   4.90  105.0300000 19.5462500 14.5661000
   4.96  105.4930000 19.4849800 14.6206400
   5.02  105.9560000 19.3828600 14.6206400
   5.08  104.5670000 19.2807400 14.5933600
   5.14  105.0300000 19.1990500 14.5933600
   5.20  104.5670000 19.1377700 14.5661000
   5.25  103.6409000 19.1582000 14.5388300
   5.31  104.1040000 19.1786200 14.5388300
   5.37  103.6409000 19.1786200 14.5115600
   5.43  102.7149000 19.1786200 14.4842900
   5.49  103.6409000 19.1786200 14.5115600
   5.55  103.1779000 19.1786200 14.4570200
   5.60  103.1779000 19.2398900 14.4842900
   5.66  104.1040000 19.3215900 14.5388300
   5.72  104.1040000 19.4237000 14.5388300
   5.78  104.1040000 19.5054000 14.6206400
   5.84  105.4930000 19.5666700 14.7024400
   5.90  104.5670000 19.6075200 14.7297100
   5.95  105.4930000 19.6279400 14.8387900
   6.01  105.9560000 19.5666700 14.8933300
   6.07  105.4930000 19.4645500 14.9206000
   6.13  105.9560000 19.3624300 14.9478700
   6.19  105.4930000 19.2603100 14.9206000
   6.25  104.1040000 19.2194700 14.8660600
   6.30  104.1040000 19.1990500 14.9206000
   6.36  103.6409000 19.1786200 14.8387900
   6.42  102.7149000 19.1990500 14.8387900
   6.48  103.1779000 19.1990500 14.8660600
   6.54  103.1779000 19.2194700 14.8387900
   6.60  102.7149000 19.2398900 14.8660600
   6.65  103.6409000 19.2603100 14.9206000
   6.71  103.1779000 19.3215900 14.9206000
   6.77  104.1040000 19.3828600 15.0024100
   6.83  105.0300000 19.4032800 15.0842200
   6.89  104.5670000 19.4441300 15.1387600
   6.95  105.0300000 19.4645500 15.2478400
   7.00  105.9560000 19.4237000 15.3296500
   7.06  105.0300000 19.3624300 15.3023800
   7.12  105.4930000 19.2807400 15.3569200
   7.18  105.4930000 19.2398900 15.3569200
   7.24  104.5670000 19.2807400 15.3296500
   7.30  104.5670000 19.3011600 15.3296500
   7.35  103.6409000 19.3420100 15.3023800
   7.41  103.1779000 19.3828600 15.2751100
   7.47  103.6409000 19.4032800 15.3023800
   7.53  103.1779000 19.4237000 15.2478400
   7.59  102.7149000 19.4441300 15.2478400
   7.65  104.1040000 19.4441300 15.2751100
   7.71  103.1779000 19.4849800 15.2478400
   7.76  103.1779000 19.5258200 15.3296500
   7.82  104.5670000 19.5870900 15.4114600
   7.88  104.1040000 19.6687900 15.4114600
   7.94  105.0300000 19.7096400 15.5750800
   8.00  105.4930000 19.7096400 15.6023500
   8.06  104.5670000 19.6892100 15.6296200
   8.11  105.4930000 19.6279400 15.6568900
   8.17  105.4930000 19.6279400 15.6841600
   8.23  104.1040000 19.6687900 15.6296200
   8.29  104.5670000 19.7096400 15.6841600
   8.35  104.1040000 19.7709100 15.6296200
   8.41  103.1779000 19.8730300 15.6296200
   8.46  104.1040000 19.8934500 15.6296200
   8.52  103.1779000 19.8934500 15.5750800
   8.58  102.7149000 19.8934500 15.5478100
   8.64  103.6409000 19.9138700 15.6023500
   8.70  103.1779000 19.9343000 15.5478100
   8.76  103.1779000 19.9955700 15.6023500
   8.81  104.5670000 19.9751400 15.6568900
   8.87  104.1040000 20.0159900 15.6841600
   8.93  104.5670000 20.0568400 15.7932400
   8.99  105.4930000 20.1181100 15.8750400
   9.05  105.0300000 20.1181100 15.8477800
   9.11  105.4930000 20.1181100 15.9023100
   9.16  105.9560000 20.1793800 15.8750400
   9.22  104.5670000 20.3019200 15.8477800
   9.28  105.0300000 20.3019200 15.8477800
   9.34  104.5670000 20.2610700 15.7932400
   9.40  103.1779000 20.1998000 15.7114300
   9.46  103.6409000 20.1385300 15.7387000
   9.51  103.1779000 20.0976800 15.6568900
   9.57  102.7149000 20.0568400 15.6568900
   9.63  103.6409000 19.9751400 15.6568900
   9.69  103.1779000 19.9547200 15.6296200
   9.75  103.1779000 19.9343000 15.6296200
   9.81  104.1040000 19.9547200 15.7114300
   9.86  104.1040000 19.9955700 15.7114300
   9.92  104.5670000 20.0364200 15.8205100
   9.98  105.9560000 20.0772600 15.9023100
  10.04  105.0300000 20.0976800 15.9023100
  10.10  105.9560000 20.0976800 15.9295800
  10.16  105.9560000 20.1181100 15.9568500
  10.22  105.0300000 20.0772600 15.8750400
  10.27  104.5670000 20.0772600 15.8750400
  10.33  105.0300000 20.0772600 15.8205100
  10.39  103.1779000 20.0364200 15.7659700
  10.45  103.6409000 19.9751400 15.7387000
  10.51  103.1779000 19.9547200 15.6841600
  10.57  102.7149000 19.8934500 15.5750800
  10.62  102.7149000 19.8321800 15.6023500
  10.68  103.1779000 19.7913300 15.5205400
  10.74  102.2519000 19.7913300 15.5205400
  10.80  103.6409000 19.7913300 15.5205400
  10.86  103.1779000 19.8117500 15.4932700
  10.92  103.1779000 19.8934500 15.5205400
  10.97  104.1040000 19.9138700 15.5750800
  11.03  104.1040000 19.9343000 15.5478100
  11.09  104.1040000 19.9343000 15.5750800
  11.15  105.4930000 19.8526000 15.5478100
  11.21  104.1040000 19.8117500 15.5205400
  11.27  104.1040000 19.7504800 15.4932700
  11.32  104.5670000 19.6892100 15.4660000
  11.38  103.1779000 19.6687900 15.3841900
  11.44  103.1779000 19.6687900 15.3841900
  11.50  103.6409000 19.6279400 15.3296500
  11.56  102.2519000 19.6483700 15.3023800
  11.62  103.1779000 19.6279400 15.3023800
  11.67  103.6409000 19.6279400 15.3023800
  11.73  103.1779000 19.6687900 15.2751100
  11.79  103.6409000 19.7096400 15.3296500
  11.85  104.5670000 19.7504800 15.3569200
  11.91  104.1040000 19.8526000 15.4114600
  11.97  105.4930000 19.8730300 15.4932700
  12.02  105.4930000 19.9138700 15.5478100
  12.08  105.0300000 19.9343000 15.6023500
  12.14  105.9560000 19.9138700 15.6841600
  12.20  105.0300000 19.8321800 15.6568900
